exon,five_prime_shape,three_prime_shape
1,N/A,Round
2,Round,Flat
3,Flat,Flat
4,Flat,Flat
5,Flat,Flat
6,Flat,Point
7,Point,Round
8,Round,Flat
9,Flat,Flat
10,Flat,Flat
11,Flat,Point
12,Point,Flat
13,Flat,Flat
14,Flat,Flat
15,Flat,Flat
16,Flat,Flat
17,Flat,Point
18,Point,Flat
19,Flat,Round
20,Round,Flat
21,Flat,Round
22,Round,Flat
23,Flat,Flat
24,Flat,Flat
25,Flat,Flat
26,Flat,Flat
27,Flat,Flat
28,Flat,Flat
29,Flat,Flat
30,Flat,Flat
31,Flat,Flat
32,Flat,Flat
33,Flat,Flat
34,Flat,Flat
35,Flat,Flat
36,Flat,Flat
37,Flat,Flat
38,Flat,Flat
39,Flat,Flat
40,Flat,Flat
41,Flat,Flat
42,Flat,Point
43,Point,Flat
44,Flat,Point
45,Point,Flat
46,Flat,Flat
47,Flat,Flat
48,Flat,Flat
49,Flat,Round
50,Round,Flat
51,Flat,Round
52,Round,Flat
53,Flat,Point
54,Point,Flat
55,Flat,Point
56,Point,Flat
57,Flat,Round
58,Round,Flat
59,Flat,Flat
60,Flat,Round
61,Round,Point
62,Point,Round
63,Round,Round
64,Round,Point
65,Point,Round
66,Round,Flat
67,Flat,Point
68,Point,Flat
69,Flat,Point
70,Point,Point
71,Point,Point
72,Point,Point
73,Point,Point
74,Point,Point
75,Point,Flat
76,Flat,Round
77,Round,Round
78,Round,Flat
79,Flat,N/A
