exon_number,num_parts,five_prime_shape,five_prime_shape_direction,primary_border_color,primary_fill_color,second_border_color,second_fill_color,third_border_color,third_fill_color,three_prime_shape,three_prime_shape_direction,source,source_version,date_accessed
1,1,N/A,|,#EB6F6F,#FFCCCC,n/a,n/a,n/a,n/a,Round,),DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
2,1,Round,),#EB6F6F,#FFCCCC,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
3,1,Flat,|,#EB6F6F,#FFCCCC,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
4,1,Flat,|,#EB6F6F,#FFCCCC,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
5,1,Flat,|,#EB6F6F,#FFCCCC,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
6,1,Flat,|,#EB6F6F,#FFCCCC,n/a,n/a,n/a,n/a,Point,>,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
7,1,Point,>,#EB6F6F,#FFCCCC,n/a,n/a,n/a,n/a,Round,),DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
8,2,Round,),#EB6F6F,#FFCCCC,#4BAF89,#AEDCCA,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
9,1,Flat,|,#4BAF89,#AEDCCA,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
10,2,Flat,|,#4BAF89,#AEDCCA,#F0C266,#FFFFCC,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
11,1,Flat,|,#F0C266,#FFFFCC,n/a,n/a,n/a,n/a,Point,>,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
12,1,Point,>,#F0C266,#FFFFCC,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
13,1,Flat,|,#F0C266,#FFFFCC,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
14,1,Flat,|,#F0C266,#FFFFCC,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
15,1,Flat,|,#F0C266,#FFFFCC,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
16,1,Flat,|,#F0C266,#FFFFCC,n/a,n/a,n/a,n/a,Flat,|,DMD map modeling reference,Dp427m ENST00000357033.9,2026-07-28
