exon_number,chromosome,genomic_start_grch38,genomic_end_grch38,strand,transcript_id,ensembl_exon_id,transcript_exon_start,transcript_exon_end,cds_start,cds_end,coding_length_bp,splice_phase_5prime,splice_phase_3prime,cumulative_cds_start,cumulative_cds_end,source,source_version,date_accessed
1,X,33211282,33211549,reverse,ENST00000357033.9,ENSE00001899141,1,268,1,31,31,0,1,1,31,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
2,X,33020139,33020200,reverse,ENST00000357033.9,ENSE00003463064,269,330,32,93,62,1,0,32,93,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
3,X,32849728,32849820,reverse,ENST00000357033.9,ENSE00003691097,331,423,94,186,93,0,0,94,186,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
4,X,32844783,32844860,reverse,ENST00000357033.9,ENSE00001640206,424,501,187,264,78,0,0,187,264,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
5,X,32823295,32823387,reverse,ENST00000357033.9,ENSE00001685282,502,594,265,357,93,0,0,265,357,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
6,X,32816468,32816640,reverse,ENST00000357033.9,ENSE00001789498,595,767,358,530,173,0,2,358,530,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
7,X,32809493,32809611,reverse,ENST00000357033.9,ENSE00001436342,768,886,531,649,119,2,1,531,649,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
8,X,32699112,32699293,reverse,ENST00000357033.9,ENSE00001436506,887,1068,650,831,182,1,0,650,831,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
9,X,32697870,32697998,reverse,ENST00000357033.9,ENSE00001434995,1069,1197,832,960,129,0,0,832,960,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
10,X,32644964,32645152,reverse,ENST00000357033.9,ENSE00001435581,1198,1386,961,1149,189,0,0,961,1149,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
11,X,32644132,32644313,reverse,ENST00000357033.9,ENSE00001435687,1387,1568,1150,1331,182,0,2,1150,1331,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
12,X,32614303,32614453,reverse,ENST00000357033.9,ENSE00001435796,1569,1719,1332,1482,151,2,0,1332,1482,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
13,X,32595757,32595876,reverse,ENST00000357033.9,ENSE00001436736,1720,1839,1483,1602,120,0,0,1483,1602,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
14,X,32573745,32573846,reverse,ENST00000357033.9,ENSE00003639921,1840,1941,1603,1704,102,0,0,1603,1704,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
15,X,32573530,32573637,reverse,ENST00000357033.9,ENSE00001479014,1942,2049,1705,1812,108,0,0,1705,1812,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
16,X,32565702,32565881,reverse,ENST00000357033.9,ENSE00001434823,2050,2229,1813,1992,180,0,0,1813,1992,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
17,X,32545159,32545334,reverse,ENST00000357033.9,ENSE00001435605,2230,2405,1993,2168,176,0,2,1993,2168,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
18,X,32518008,32518131,reverse,ENST00000357033.9,ENSE00001436267,2406,2529,2169,2292,124,2,0,2169,2292,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
19,X,32501755,32501842,reverse,ENST00000357033.9,ENSE00001436655,2530,2617,2293,2380,88,0,1,2293,2380,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
20,X,32491277,32491518,reverse,ENST00000357033.9,ENSE00001436512,2618,2859,2381,2622,242,1,0,2381,2622,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
21,X,32484919,32485099,reverse,ENST00000357033.9,ENSE00001435151,2860,3040,2623,2803,181,0,1,2623,2803,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
22,X,32472164,32472309,reverse,ENST00000357033.9,ENSE00001435583,3041,3186,2804,2949,146,1,0,2804,2949,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
23,X,32468498,32468710,reverse,ENST00000357033.9,ENSE00001435180,3187,3399,2950,3162,213,0,0,2950,3162,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
24,X,32464586,32464699,reverse,ENST00000357033.9,ENSE00001436271,3400,3513,3163,3276,114,0,0,3163,3276,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
25,X,32463439,32463594,reverse,ENST00000357033.9,ENSE00001435906,3514,3669,3277,3432,156,0,0,3277,3432,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
26,X,32454662,32454832,reverse,ENST00000357033.9,ENSE00001436731,3670,3840,3433,3603,171,0,0,3433,3603,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
27,X,32448456,32448638,reverse,ENST00000357033.9,ENSE00001436545,3841,4023,3604,3786,183,0,0,3604,3786,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
28,X,32441180,32441314,reverse,ENST00000357033.9,ENSE00001435146,4024,4158,3787,3921,135,0,0,3787,3921,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
29,X,32438241,32438390,reverse,ENST00000357033.9,ENSE00001434999,4159,4308,3922,4071,150,0,0,3922,4071,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
30,X,32411752,32411913,reverse,ENST00000357033.9,ENSE00001434585,4309,4470,4072,4233,162,0,0,4072,4233,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
31,X,32390071,32390181,reverse,ENST00000357033.9,ENSE00001435573,4471,4581,4234,4344,111,0,0,4234,4344,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
32,X,32389501,32389674,reverse,ENST00000357033.9,ENSE00001435218,4582,4755,4345,4518,174,0,0,4345,4518,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
33,X,32386310,32386465,reverse,ENST00000357033.9,ENSE00001436039,4756,4911,4519,4674,156,0,0,4519,4674,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
34,X,32380510,32380680,reverse,ENST00000357033.9,ENSE00001435954,4912,5082,4675,4845,171,0,0,4675,4845,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
35,X,32365020,32365199,reverse,ENST00000357033.9,ENSE00000978409,5083,5262,4846,5025,180,0,0,4846,5025,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
36,X,32364582,32364710,reverse,ENST00000357033.9,ENSE00001157370,5263,5391,5026,5154,129,0,0,5026,5154,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
37,X,32362788,32362958,reverse,ENST00000357033.9,ENSE00003988225,5392,5562,5155,5325,171,0,0,5155,5325,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
38,X,32348406,32348528,reverse,ENST00000357033.9,ENSE00003988222,5563,5685,5326,5448,123,0,0,5326,5448,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
39,X,32345943,32346080,reverse,ENST00000357033.9,ENSE00003988224,5686,5823,5449,5586,138,0,0,5449,5586,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
40,X,32343134,32343286,reverse,ENST00000357033.9,ENSE00003988229,5824,5976,5587,5739,153,0,0,5587,5739,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
41,X,32342100,32342282,reverse,ENST00000357033.9,ENSE00003988226,5977,6159,5740,5922,183,0,0,5740,5922,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
42,X,32310082,32310276,reverse,ENST00000357033.9,ENSE00003988221,6160,6354,5923,6117,195,0,0,5923,6117,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
43,X,32287529,32287701,reverse,ENST00000357033.9,ENSE00003988227,6355,6527,6118,6290,173,0,2,6118,6290,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
44,X,32216916,32217063,reverse,ENST00000357033.9,ENSE00003988219,6528,6675,6291,6438,148,2,0,6291,6438,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
45,X,31968339,31968514,reverse,ENST00000357033.9,ENSE00003988228,6676,6851,6439,6614,176,0,2,6439,6614,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
46,X,31932080,31932227,reverse,ENST00000357033.9,ENSE00003988223,6852,6999,6615,6762,148,2,0,6615,6762,Ensembl REST API,GRCh38 ENST00000357033.9,2026-07-28
